name,name_en,region_code,population,area,density,source_year,source_name
利比里亚,Liberia,LBR,4937374,98637.41,50.06,2019,Natural Earth 110m Admin 0 countries
塞拉利昂,Sierra Leone,SLE,7813215,76300.95,102.4,2019,Natural Earth 110m Admin 0 countries
布基纳法索,Burkina Faso,BFA,20321378,272637.06,74.54,2019,Natural Earth 110m Admin 0 countries
中非共和国,Central African Republic,CAF,4745185,624509.53,7.6,2019,Natural Earth 110m Admin 0 countries
刚果共和国,Republic of the Congo,COG,5380508,341186.49,15.77,2019,Natural Earth 110m Admin 0 countries
加蓬,Gabon,GAB,2172579,270672.65,8.03,2019,Natural Earth 110m Admin 0 countries
赤道几内亚,Equatorial Guinea,GNQ,1355986,27239.26,49.78,2019,Natural Earth 110m Admin 0 countries
赞比亚,Zambia,ZMB,17861030,754611.88,23.67,2019,Natural Earth 110m Admin 0 countries
马拉维,Malawi,MWI,18628747,111625.26,166.89,2019,Natural Earth 110m Admin 0 countries
莫桑比克,Mozambique,MOZ,30366036,813738.6,37.32,2019,Natural Earth 110m Admin 0 countries
斯威士兰,Eswatini,SWZ,1148130,18147.08,63.27,2019,Natural Earth 110m Admin 0 countries
安哥拉,Angola,AGO,31825295,1249853.22,25.46,2019,Natural Earth 110m Admin 0 countries
布隆迪,Burundi,BDI,11530580,26354.81,437.51,2019,Natural Earth 110m Admin 0 countries
以色列,Israel,ISR,9053300,23075.52,392.33,2019,Natural Earth 110m Admin 0 countries
黎巴嫩,Lebanon,LBN,6855713,10091.17,679.38,2019,Natural Earth 110m Admin 0 countries
马达加斯加,Madagascar,MDG,26969307,591045.46,45.63,2019,Natural Earth 110m Admin 0 countries
巴勒斯坦,Palestine,PSE,4685306,5038.72,929.86,2019,Natural Earth 110m Admin 0 countries
冈比亚,The Gambia,GMB,2347706,14081.99,166.72,2019,Natural Earth 110m Admin 0 countries
突尼斯,Tunisia,TUN,11694719,156318.87,74.81,2019,Natural Earth 110m Admin 0 countries
阿尔及利亚,Algeria,DZA,43053054,2321934.12,18.54,2019,Natural Earth 110m Admin 0 countries
约旦,Jordan,JOR,10101694,89151.38,113.31,2019,Natural Earth 110m Admin 0 countries
阿拉伯联合酋长国,United Arab Emirates,ARE,9770529,80217.2,121.8,2019,Natural Earth 110m Admin 0 countries
卡塔尔,Qatar,QAT,2832067,11350.96,249.5,2019,Natural Earth 110m Admin 0 countries
科威特,Kuwait,KWT,4207083,16653.25,252.63,2019,Natural Earth 110m Admin 0 countries
伊拉克,Iraq,IRQ,39309783,437515.17,89.85,2019,Natural Earth 110m Admin 0 countries
阿曼,Oman,OMN,4974986,309965.71,16.05,2019,Natural Earth 110m Admin 0 countries
瓦努阿图,Vanuatu,VUT,299882,7521.42,39.87,2019,Natural Earth 110m Admin 0 countries
柬埔寨,Cambodia,KHM,16486542,182951.85,90.11,2019,Natural Earth 110m Admin 0 countries
泰国,Thailand,THA,69625582,511935.01,136.0,2019,Natural Earth 110m Admin 0 countries
老挝,Laos,LAO,7169455,229752.81,31.21,2019,Natural Earth 110m Admin 0 countries
缅甸,Myanmar,MMR,54045420,681457.25,79.31,2019,Natural Earth 110m Admin 0 countries
越南,Vietnam,VNM,96462106,337137.48,286.12,2019,Natural Earth 110m Admin 0 countries
朝鲜民主主义人民共和国,North Korea,PRK,25666161,125451.27,204.59,2019,Natural Earth 110m Admin 0 countries
大韩民国,South Korea,KOR,51709098,99016.74,522.23,2019,Natural Earth 110m Admin 0 countries
蒙古国,Mongolia,MNG,3225167,1540286.79,2.09,2019,Natural Earth 110m Admin 0 countries
印度,India,IND,1366417754,3150308.66,433.74,2019,Natural Earth 110m Admin 0 countries
孟加拉国,Bangladesh,BGD,163046161,134064.96,1216.17,2019,Natural Earth 110m Admin 0 countries
不丹,Bhutan,BTN,763092,39440.02,19.35,2019,Natural Earth 110m Admin 0 countries
尼泊尔,Nepal,NPL,28608710,150940.64,189.54,2019,Natural Earth 110m Admin 0 countries
巴基斯坦,Pakistan,PAK,216565318,875273.31,247.43,2019,Natural Earth 110m Admin 0 countries
阿富汗,Afghanistan,AFG,38041754,652497.15,58.3,2019,Natural Earth 110m Admin 0 countries
塔吉克斯坦,Tajikistan,TJK,9321018,137922.61,67.58,2019,Natural Earth 110m Admin 0 countries
